time,road_id,vehicle_count,average_speed
12000,j5tj4_0,3,15.854506636487097
12000,j5tj4_1,0,0
12000,j5tj4_2,0,0
12000,j5tj6_0,0,0
12000,j5tj6_1,2,13.303837846520985
12000,j5tj6_2,0,0
12000,j6tj11_0,0,0
12000,j6tj11_1,2,13.12254754248665
12000,j6tj11_2,0,0
12000,j6tj2_0,0,0
12000,j6tj2_1,0,0
12000,j6tj2_2,0,0
12000,j6tj5_0,3,7.268984822238012
12000,j6tj5_1,0,0
12000,j6tj5_2,0,0
12000,j6tj7_0,0,0
12000,j6tj7_1,8,1.7988476958281832
12000,j6tj7_2,3,3.768414152156195e-14
12000,j7tj12_0,0,0
12000,j7tj12_1,2,0.0
12000,j7tj12_2,0,0
12000,j7tj3_0,0,0
12000,j7tj3_1,0,0
12000,j7tj3_2,0,0
12000,j7tj6_0,0,0
12000,j7tj6_1,3,3.0363795259457773
12000,j7tj6_2,1,7.470085806071179
12000,j7tj8_0,0,0
12000,j7tj8_1,0,0
12000,j7tj8_2,0,0
12000,j8tj7_0,0,0
12000,j8tj7_1,4,2.843289359412137e-14
12000,j8tj7_2,0,0
12000,j9tj10_0,0,0
12000,j9tj10_1,2,0.002031153884314587
12000,j9tj10_2,0,0
15000,j10tj11_0,1,14.30731871640522
15000,j10tj11_1,1,7.421507347105397
15000,j10tj11_2,0,0
15000,j10tj14_0,0,0
15000,j10tj14_1,0,0
15000,j10tj14_2,0,0
15000,j10tj5_0,0,0
15000,j10tj5_1,0,0
15000,j10tj5_2,0,0
15000,j10tj9_0,2,13.07690387272994
15000,j10tj9_1,1,19.254104114580286
15000,j10tj9_2,0,0
15000,j11tj10_0,1,13.057645386550112
15000,j11tj10_1,3,13.240279389926856
15000,j11tj10_2,0,0
15000,j11tj12_0,1,13.713444740406695
15000,j11tj12_1,1,12.858431951663823
15000,j11tj12_2,1,12.47121066298765
15000,j11tj15_0,0,0
15000,j11tj15_1,0,0
15000,j11tj15_2,0,0
15000,j11tj6_0,0,0
15000,j11tj6_1,0,0
15000,j11tj6_2,3,1.4778178944796217e-11
15000,j12tj11_0,0,0
15000,j12tj11_1,0,0
15000,j12tj11_2,0,0
15000,j12tj13_0,0,0
15000,j12tj13_1,0,0
15000,j12tj13_2,0,0
15000,j12tj16_0,3,13.353479071598448
15000,j12tj16_1,1,16.343246664722802
15000,j12tj16_2,0,0
15000,j12tj7_0,1,14.060199131347275
15000,j12tj7_1,0,0
15000,j12tj7_2,1,16.743708839257874
15000,j13tj12_0,0,0
15000,j13tj12_1,3,1.232824076818747e-07
15000,j13tj12_2,0,0
15000,j14tj10_0,0,0
15000,j14tj10_1,0,0
15000,j14tj10_2,0,0
15000,j15tj11_0,0,0
15000,j15tj11_1,0,0
15000,j15tj11_2,0,0
15000,j16tj12_0,0,0
15000,j16tj12_1,1,7.2200640171585775
15000,j16tj12_2,1,0.2141164442892847
15000,j1tj5_0,0,0
15000,j1tj5_1,0,0
15000,j1tj5_2,1,1.3357928056732632e-43
15000,j2tj6_0,0,0
15000,j2tj6_1,0,0
15000,j2tj6_2,3,2.152432289217691
15000,j3tj7_0,0,0
15000,j3tj7_1,0,0
15000,j3tj7_2,0,0
15000,j4tj5_0,0,0
15000,j4tj5_1,0,0
15000,j4tj5_2,0,0
15000,j5tj10_0,0,0
15000,j5tj10_1,2,13.083183611689552
15000,j5tj10_2,0,0
15000,j5tj1_0,0,0
15000,j5tj1_1,0,0
15000,j5tj1_2,0,0
15000,j5tj4_0,1,13.089104583670677
15000,j5tj4_1,1,14.455227852490909
15000,j5tj4_2,0,0
15000,j5tj6_0,4,5.911597463732535
15000,j5tj6_1,4,3.571807013116657
15000,j5tj6_2,0,0
15000,j6tj11_0,0,0
15000,j6tj11_1,1,5.997049895227119e-19
15000,j6tj11_2,0,0
15000,j6tj2_0,0,0
15000,j6tj2_1,0,0
15000,j6tj2_2,0,0
15000,j6tj5_0,0,0
15000,j6tj5_1,0,0
15000,j6tj5_2,0,0
15000,j6tj7_0,0,0
15000,j6tj7_1,3,0.0
15000,j6tj7_2,1,0.0
15000,j7tj12_0,0,0
15000,j7tj12_1,4,2.4142145227120424
15000,j7tj12_2,2,1.0384046234040412
15000,j7tj3_0,0,0
15000,j7tj3_1,0,0
15000,j7tj3_2,0,0
15000,j7tj6_0,1,14.727203640480095
15000,j7tj6_1,1,13.2812853088922
15000,j7tj6_2,0,0
15000,j7tj8_0,0,0
15000,j7tj8_1,0,0
15000,j7tj8_2,0,0
15000,j8tj7_0,0,0
15000,j8tj7_1,4,2.84201528556881e-14
15000,j8tj7_2,0,0
15000,j9tj10_0,0,0
15000,j9tj10_1,1,14.697953209349283
15000,j9tj10_2,0,0
18000,j10tj11_0,0,0
18000,j10tj11_1,0,0
18000,j10tj11_2,0,0
18000,j10tj14_0,0,0
18000,j10tj14_1,0,0
18000,j10tj14_2,0,0
18000,j10tj5_0,0,0
18000,j10tj5_1,1,0.0
18000,j10tj5_2,1,0.07835909983485648
18000,j10tj9_0,0,0
18000,j10tj9_1,0,0
18000,j10tj9_2,0,0
18000,j11tj10_0,0,0
18000,j11tj10_1,1,0.0
18000,j11tj10_2,0,0
18000,j11tj12_0,0,0
18000,j11tj12_1,0,0
18000,j11tj12_2,0,0
18000,j11tj15_0,0,0
18000,j11tj15_1,0,0
18000,j11tj15_2,0,0
18000,j11tj6_0,0,0
18000,j11tj6_1,2,3.8902838921949523
18000,j11tj6_2,1,3.6660122413038585
18000,j12tj11_0,0,0
18000,j12tj11_1,2,0.0
18000,j12tj11_2,0,0
18000,j12tj13_0,2,15.51832649857292
18000,j12tj13_1,0,0
18000,j12tj13_2,0,0
18000,j12tj16_0,0,0
18000,j12tj16_1,0,0
18000,j12tj16_2,0,0
18000,j12tj7_0,0,0
18000,j12tj7_1,0,0
18000,j12tj7_2,0,0
18000,j13tj12_0,0,0
18000,j13tj12_1,0,0
18000,j13tj12_2,0,0
18000,j14tj10_0,0,0
18000,j14tj10_1,0,0
18000,j14tj10_2,0,0
18000,j15tj11_0,0,0
18000,j15tj11_1,0,0
18000,j15tj11_2,0,0
18000,j16tj12_0,1,10.226423309061715
18000,j16tj12_1,0,0
18000,j16tj12_2,0,0
18000,j1tj5_0,0,0
18000,j1tj5_1,1,0.0
18000,j1tj5_2,0,0
18000,j2tj6_0,1,3.8101135750558575
18000,j2tj6_1,0,0
18000,j2tj6_2,0,0
18000,j3tj7_0,0,0
18000,j3tj7_1,0,0
18000,j3tj7_2,0,0
18000,j4tj5_0,0,0
18000,j4tj5_1,0,0
18000,j4tj5_2,0,0
18000,j5tj10_0,0,0
18000,j5tj10_1,0,0
18000,j5tj10_2,0,0
18000,j5tj1_0,1,15.360497702215278
18000,j5tj1_1,0,0
18000,j5tj1_2,0,0
18000,j5tj4_0,2,13.879221907118197
18000,j5tj4_1,1,14.316213139716949
18000,j5tj4_2,0,0
18000,j5tj6_0,0,0
18000,j5tj6_1,0,0
18000,j5tj6_2,0,0
18000,j6tj11_0,0,0
18000,j6tj11_1,0,0
18000,j6tj11_2,0,0
18000,j6tj2_0,0,0
18000,j6tj2_1,0,0
18000,j6tj2_2,0,0
18000,j6tj5_0,0,0
18000,j6tj5_1,0,0
18000,j6tj5_2,3,3.843133677895906
18000,j6tj7_0,0,0
18000,j6tj7_1,2,6.830272166856223e-67
18000,j6tj7_2,1,7.359842608091495
18000,j7tj12_0,0,0
18000,j7tj12_1,2,0.0
18000,j7tj12_2,1,10.502041577846542
18000,j7tj3_0,0,0
18000,j7tj3_1,0,0
18000,j7tj3_2,0,0
18000,j7tj6_0,0,0
18000,j7tj6_1,3,5.418209383818424
18000,j7tj6_2,1,4.838996067247127e-211
18000,j7tj8_0,0,0
18000,j7tj8_1,0,0
18000,j7tj8_2,0,0
18000,j8tj7_0,0,0
18000,j8tj7_1,3,0.0029358650829271146
18000,j8tj7_2,0,0
18000,j9tj10_0,0,0
18000,j9tj10_1,0,0
18000,j9tj10_2,0,0
